2019-04-10 01:33:50.780 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@4bc2b8a9 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@3119efaf wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@55aeaad8, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@70868017, controller:document, format:xml, action:save]>
2019-04-10 01:51:19.263 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@bfdf8ef nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@63bc3faa wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@21819140, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@53950805, controller:document, format:xml, action:save]>
2019-04-10 01:51:49.652 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@dc98cb03 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@2b8fe9d3 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@3b286cb3, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@5e509b26, controller:document, format:xml, action:save]>
2019-04-10 01:53:25.092 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@d4f781d8 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@5ca39a9 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@5f5974c1, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@c02a7af, controller:document, format:xml, action:save]>
2019-04-10 01:57:12.535 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@8c4e27d8 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@2468e32c wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@21a4ac98, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@1619f2a4, controller:document, format:xml, action:save]>
2019-04-10 01:57:56.979 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@cb8951e1 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@1b95f6e1 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@389f32d7, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@12fefbd8, controller:document, format:xml, action:save]>
2019-04-10 02:05:42.090 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@59a76904 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@776abb39 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@7312a844, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@6db05374, controller:document, format:xml, action:save]>
2019-04-10 02:09:03.576 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@6a0142e4 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@7e4879d5 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@3229bd6, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@21be271a, controller:document, format:xml, action:save]>
2019-04-10 02:10:49.777 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@1ef76db9 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@61ad9647 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@35ef8318, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@68ec8767, controller:document, format:xml, action:save]>
2019-04-10 02:12:12.194 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@27580542 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@6e0dabac wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@8bfd852, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@26b2c0c4, controller:document, format:xml, action:save]>
2019-04-10 02:13:03.378 INFO insur.DocumentController - Request Parameters: <grails.web.servlet.mvc.GrailsParameterMap@6d3d1c11 nestedDateMap=[:] request=org.springframework.web.multipart.support.StandardMultipartHttpServletRequest@22e373e8 wrappedMap=[token:AS87YVN5RFBBVjNCLX0X3pBOEhXU1ZmSi1VY0llMjdpeUdJ, doc1:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@8ad74bd, doc2:org.springframework.web.multipart.support.StandardMultipartHttpServletRequest$StandardMultipartFile@68789cb2, controller:document, format:xml, action:save]>
